number,country,n,i,o,rgdpw60,rgdpw85,gdpgrowth,popgrowth,i_y,school,rgdpw23,gdpgrowth_23,popgrowth_23,i_y_23,school_23
42,Zambia,1,1,0,1410,1217,2.1,2.7,31.7,2.4,1650.4270286689846,3.4448492217869386,3.1866512341675257,14.50809454254341,3.7369663403196336
43,Zimbabwe,1,1,0,1187,2107,5.1,2.8,21.1,4.4,2068.5679868817083,3.426802101555304,2.518967225964097,10.934023606569102,8.964089569318475
44,Afghanistan,0,0,0,1224,NA,1.6,NA,6.9,0.9,NA,NA,NA,NA,NA
45,Bahrain,0,0,0,NA,NA,NA,NA,30,12.1,73699.82981907469,3.955477012752495,4.217834078389693,35.26630393332905,11.492484523609235
46,Bangladesh,1,1,0,846,1221,4,2.6,6.8,3.2,3081.460720470882,4.314641527682239,2.1961127399016123,14.337888735462911,10.489235508869768
47,Burma,1,1,0,517,1031,4.5,1.7,11.4,3.5,12086.413053136866,5.400801802661781,1.7644113487359503,11.473102433486813,6.9775376512101035
48,Hong Kong,1,1,0,3085,13372,8.9,3,19.9,7.2,29315.002175837973,5.408796146968697,1.708129342570519,23.104913788847632,8.36792476723913
49,India,1,1,0,978,1339,3.6,2.4,16.8,5.1,5973.382662823282,5.202827061837567,2.2240542589565315,20.318083022721112,13.460765037597556
50,Iran,0,0,0,3606,7400,6.3,3.4,18.4,6.5,3480.8011413217,2.7093547823388686,2.766980528503482,26.075367839075632,15.167723417361445
51,Iraq,0,0,0,4916,5626,3.8,3.2,16.2,7.4,22758.872576681333,3.7790234679641266,3.0700112415546155,18.054133232820917,11.383385584706229
52,Israel,1,1,0,4802,10450,5.9,2.8,28.5,9.5,21888.47011326195,4.976422706243677,2.4789656820075168,28.71123512741179,15.59619863128624
53,Japan,1,1,1,3493,13893,6.8,1.2,36,10.9,23758.662224024334,3.4144204651596066,0.31476453844221375,31.211409834213555,9.054390890924095
54,Jordan,1,1,0,2183,4312,5.4,2.7,17.6,10.8,1985.3799905624035,4.477363938574586,4.634844903824975,31.314262654632337,15.243914776396432
55,"Korea, South",1,1,0,1285,4775,7.9,2.7,22.3,10.2,29922.64534444905,6.749903450726791,1.5471036297764806,32.54061162006111,9.656610354673004
56,Kuwait,0,0,0,77881,25635,2.4,6.8,9.5,9.6,68562.5387091843,1.4015448040956224,4.894614515816231,23.72387339947401,16.527684037193193
57,Malaysia,1,1,0,2154,5788,7.1,3.2,23.2,7.3,15286.62027139627,6.134269751572741,2.883719223360126,26.358377793803818,13.817212855586801
58,Nepal,1,0,0,833,974,2.6,2,5.9,2.3,2902.610386863695,3.9923500805716383,1.9520438348485714,14.737466067890642,11.939370982092306
59,Oman,0,0,0,NA,15584,NA,3.3,15.6,2.7,60366.54641513953,5.998009058303744,4.085566346289871,29.733444115629897,14.410164567303685
60,Pakistan,1,1,0,1077,2175,5.8,3,12.2,3,4999.660422145474,5.323648391756874,2.788129065759004,11.272350954823192,7.123817953892367
61,Philippines,1,1,0,1668,2430,4.5,3,14.9,10.6,4148.4911121484265,4.244807750841417,2.748046534069859,17.334596125874672,11.785546729580577
62,Saudi Arabia,0,0,0,6731,11057,6.1,4.1,12.8,3.1,81119.23355886905,3.416820938574139,4.780228763888017,31.697981363093408,13.268339597457947
63,Singapore,1,1,0,2793,14678,9.2,2.6,32.2,9,34949.88860153835,6.819329640775806,2.6198084328977966,43.7935225199908,3.7088908102202107
64,Sri Lanka,1,1,0,1794,2482,3.7,2.4,14.8,8.3,11288.656489997697,4.624600449126515,1.6141369353205537,19.738633767701682,17.543453848637864
65,Syria,1,1,0,2382,6042,6.7,3,15.9,8.8,2300.599281408717,2.9843223507716843,3.0411769250447085,12.67883410910145,14.513763571954607
66,Taiwan,0,0,0,NA,NA,8,NA,20.7,NA,NA,6.91068231623817,NA,25.886107026599355,NaN
67,Thailand,1,1,0,1308,3220,6.7,3.1,18,4.4,13572.043870983349,5.887626388845435,2.0275912487362824,23.753083311021324,9.36695155614111
68,U.A.E.,0,0,0,NA,18513,NA,NA,26.5,NA,92177.55573660624,5.276004845693261,7.735074634448136,35.4454618913156,9.581384175718798
69,Yemen,0,0,0,NA,1918,NA,2.5,17.2,0.6,1584.3370543424746,0.9292495936508383,3.172320243379878,15.427938603929118,11.658168353039782
70,Austria,1,1,1,5939,13327,3.6,0.4,23.4,8,22884.065799527576,2.580166166829767,0.407156983298651,27.207191032357514,12.702543437230206
71,Belgium,1,1,1,6789,14290,3.5,0.5,23.4,9.3,26250.70749575176,2.561393159823644,0.38322185907893047,29.26894142292441,10.587830463887471
72,Cyprus,0,0,0,2948,NA,5.2,NA,31.2,8.2,16973.854196217453,4.49306110953227,1.6295363380441463,39.806902757845826,7.61219222407428
73,Denmark,1,1,1,8551,16491,3.2,0.6,26.6,10.7,30138.92342933968,2.4266883383396554,0.3988717690672994,26.087255124002702,10.93821427910873
74,Finland,1,1,1,6527,13779,3.7,0.7,36.9,11.5,27064.319393536556,2.6387054002638077,0.3475250507555039,32.443516049534075,10.825150899264118
75,France,1,1,1,7215,15027,3.9,1,26.2,8.9,26673.01165900416,2.6763596512513477,0.5673941706396901,26.167616923339665,13.79342009062635
76,"Germany, W.",1,1,1,7695,15297,3.3,0.5,28.5,8.4,28586.098967287016,2.236712029177368,0.12905278752570748,27.6581000071019,13.711085792265644
77,Greece,1,1,1,2257,6868,5.1,0.7,29.3,7.9,10055.80698686542,2.681049160071569,0.2745056777667898,27.23820973187685,9.532208342740473
78,Iceland,0,0,0,8091,NA,3.9,NA,29,10.2,30342.49578328539,3.6902754833633145,1.537423221566514,33.17502336576582,14.535520669672295
79,Ireland,1,1,1,4411,8675,3.8,1.1,25.9,11.4,42601.95302730263,4.910019229590046,1.200755136189935,26.544470083899796,10.11271477677685
80,Italy,1,1,1,4913,11082,3.8,0.6,24.9,7.1,18921.461574466317,2.3790172919098573,0.21104542469616572,26.354021765291684,11.794660099150587
81,Luxembourg,0,0,0,9015,NA,2.8,NA,26.9,5,35101.71055092194,3.43122714539994,1.223381925838929,29.670201521366828,11.310804998621489
